t,t_year,Labr,TFPr,gr_Dcrb,Dcrb,cost1_Abat,CEms_land,CEms_land_cum
50,250,7403.0,5.115,-0.0152,0.35032002736111795,0.021432877258449248,0.006534217887014455,2.6
51,255,7403.0,5.115,-0.0152,0.35032002736111795,0.02089705532698802,0.005782782830007793,2.6
52,260,7403.0,5.115,-0.0152,0.35032002736111795,0.020374628943813318,0.0051177628045568965,2.6
53,265,7403.0,5.115,-0.0152,0.35032002736111795,0.019865263220217987,0.004529220082032854,2.6
54,270,7403.0,5.115,-0.0152,0.35032002736111795,0.019368631639712537,0.004008359772599075,2.6
55,275,7403.0,5.115,-0.0152,0.35032002736111795,0.01888441584871972,0.003547398398750182,2.6
56,280,7403.0,5.115,-0.0152,0.35032002736111795,0.01841230545250173,0.003139447582893911,2.6
57,285,7403.0,5.115,-0.0152,0.35032002736111795,0.017951997816189183,0.0027784111108611113,2.6
58,290,7403.0,5.115,-0.0152,0.35032002736111795,0.017503197870784453,0.0024588938331120834,2.6
59,295,7403.0,5.115,-0.0152,0.35032002736111795,0.017065617924014845,0.002176121042304194,2.6
60,300,7403.0,5.115,-0.0152,0.35032002736111795,0.01663897747591447,0.0019258671224392115,2.6
61,305,7403.0,5.115,-0.0152,0.35032002736111795,0.016223003039016606,0.0017043924033587022,2.6
62,310,7403.0,5.115,-0.0152,0.35032002736111795,0.015817427963041194,0.0015083872769724516,2.6
63,315,7403.0,5.115,-0.0152,0.35032002736111795,0.015421992263965165,0.0013349227401206196,2.6
64,320,7403.0,5.115,-0.0152,0.35032002736111795,0.015036442457366034,0.0011814066250067485,2.6
65,325,7403.0,5.115,-0.0152,0.35032002736111795,0.014660531395931882,0.0010455448631309723,2.6
66,330,7403.0,5.115,-0.0152,0.35032002736111795,0.014294018111033585,0.0009253072038709105,2.6
67,335,7403.0,5.115,-0.0152,0.35032002736111795,0.013936667658257745,0.0008188968754257558,2.6
68,340,7403.0,5.115,-0.0152,0.35032002736111795,0.013588250966801302,0.0007247237347517938,2.6
69,345,7403.0,5.115,-0.0152,0.35032002736111795,0.01324854469263127,0.0006413805052553376,2.6
70,350,7403.0,5.115,-0.0152,0.35032002736111795,0.012917331075315487,0.0005676217471509738,2.6
71,355,7403.0,5.115,-0.0152,0.35032002736111795,0.012594397798432602,0.0005023452462286119,2.6
72,360,7403.0,5.115,-0.0152,0.35032002736111795,0.012279537853471783,0.00044457554291232144,2.6
73,365,7403.0,5.115,-0.0152,0.35032002736111795,0.01197254940713499,0.0003934493554774045,2.6
74,370,7403.0,5.115,-0.0152,0.35032002736111795,0.011673235671956614,0.000348202679597503,2.6
75,375,7403.0,5.115,-0.0152,0.35032002736111795,0.011381404780157698,0.00030815937144379013,2.6
76,380,7403.0,5.115,-0.0152,0.35032002736111795,0.011096869660653756,0.0002727210437277543,2.6
77,385,7403.0,5.115,-0.0152,0.35032002736111795,0.010819447919137411,0.00024135812369906255,2.6
78,390,7403.0,5.115,-0.0152,0.35032002736111795,0.010548961721158977,0.00021360193947367036,2.6
79,395,7403.0,5.115,-0.0152,0.35032002736111795,0.010285237678130001,0.00018903771643419826,2.6
80,400,7403.0,5.115,-0.0152,0.35032002736111795,0.010028106736176752,0.00016729837904426545,2.6
81,405,7403.0,5.115,-0.0152,0.35032002736111795,0.009777404067772333,0.00014805906545417493,2.6
82,410,7403.0,5.115,-0.0152,0.35032002736111795,0.009532968966078022,0.0001310322729269448,2.6
83,415,7403.0,5.115,-0.0152,0.35032002736111795,0.009294644741926072,0.00011596356154034616,2.6
84,420,7403.0,5.115,-0.0152,0.35032002736111795,0.00906227862337792,0.00010262775196320636,2.6
85,425,7403.0,5.115,-0.0152,0.35032002736111795,0.008835721657793472,9.082556048743763e-05,2.6
86,430,7403.0,5.115,-0.0152,0.35032002736111795,0.008614828616348637,8.03806210313823e-05,2.6
87,435,7403.0,5.115,-0.0152,0.35032002736111795,0.00839945790093992,7.113684961277334e-05,2.6
88,440,7403.0,5.115,-0.0152,0.35032002736111795,0.008189471453416421,6.29561119073044e-05,2.6
89,445,7403.0,5.115,-0.0152,0.35032002736111795,0.00798473466708101,5.5716159037964404e-05,2.6
90,450,7403.0,5.115,-0.0152,0.35032002736111795,0.007785116300403985,4.930880074859849e-05,2.6
91,455,7403.0,5.115,-0.0152,0.35032002736111795,0.007590488392893885,4.3638288662509665e-05,2.6
92,460,7403.0,5.115,-0.0152,0.35032002736111795,0.007400726183071537,3.861988546632106e-05,2.6
93,465,7403.0,5.115,-0.0152,0.35032002736111795,0.007215708028494749,3.4178598637694134e-05,2.6
94,470,7403.0,5.115,-0.0152,0.35032002736111795,0.0070353153277823805,3.024805979435931e-05,2.6
95,475,7403.0,5.115,-0.0152,0.35032002736111795,0.006859432444587821,2.676953291800799e-05,2.6
96,480,7403.0,5.115,-0.0152,0.35032002736111795,0.0066879466334731266,2.3691036632437068e-05,2.6
97,485,7403.0,5.115,-0.0152,0.35032002736111795,0.006520747967636297,2.0966567419706807e-05,2.6
98,490,7403.0,5.115,-0.0152,0.35032002736111795,0.006357729268445389,1.8555412166440525e-05,2.6
99,495,7403.0,5.115,-0.0152,0.35032002736111795,0.006198786036734254,1.6421539767299864e-05,2.6
100,500,7403.0,5.115,-0.0152,0.35032002736111795,0.006043816385815898,1.453306269406038e-05,2.6
